hgnc_gene	score_wo_prcnt	score_prcnt
A2ML1	2.41990149	98.52559566
A4GNT	1.1078757940000001	92.03821656
AADACL3	2.131332486	97.92403869
AARS2	1.14268501	92.37438075
AASDH	1.0544929170000001	91.3717858
ABCA10	1.037938929	91.14767634
ABCA4	0.7366628209999999	86.30573248
ABCA5	0.771533118	86.96036801
ABCA8	0.909319045	89.47275301
ABCB7	0.8617121329999999	88.6883699
ABCC11	1.624127851	96.03680113
ABCC12	1.111434312	92.06770465
ABCC2	0.9552526440000001	90.09200283
ABCC3	0.690669139	85.21467327
ABCC6	0.626356326	83.53974994
ABCD4	0.804668134	87.71526303
ABCG5	1.161078613	92.64567115
ABCG8	0.744001103	86.37650389
ABHD10	0.595326758	82.66100495
ABHD12B	1.039913547	91.25973107
ABHD14A	0.773521534	87.06062751
ABI3BP	0.45374373	78.05496579
ACAD11	0.6044243429999999	82.90280727
ACAN	1.2843107120000001	93.77211607
ACBD4	0.46304610799999996	78.58575136
ACE2	0.885576705	89.14248644
ACOT11	0.720128343	85.85751356
ACOT6	0.547599505	81.2160887
ACOT9	0.439181676	77.69521113
ACOXL	1.86668643	97.19863175
ACP6	0.863528995	88.74144845
ACSBG2	1.7159724230000002	96.47912243
ACSM2A	0.407828206	76.50979004
ACSM2B	0.560331224	81.70559094
ACSM3	1.289723716	93.85468271
ACTBL2	0.88921411	89.24274593
ACTR3C	0.479642105	78.95140363
ACTRT2	0.486911049	79.46449634
ACTRT3	0.949904335	90.00943619
ADAM17	0.5989630420000001	82.7789573
ADAM18	0.586023223	82.34843123
ADAM19	0.918552705	89.5730125
ADAM2	0.870809653	88.86529842
ADAM28	0.762397607	86.85421090000001
ADAM33	0.802845857	87.69167256
ADAMDEC1	1.39815152	94.71573484
ADAMTS12	0.865222355	88.74734607
ADAMTS13	0.622690987	83.42179759
ADAMTS15	0.6760345440000001	84.75465912
ADAMTS16	0.679686641	84.77235197
ADAMTS7	2.519370135	98.68483133
ADAMTS8	0.6723867029999999	84.73696627
ADAMTSL5	0.442818085	77.8544468
ADAT1	0.8010248170000001	87.65628686
ADCK2	0.692611128	85.26185421
ADCY10	0.639248104	83.78744987
ADH1B	0.553050905	81.54635527
ADORA2B	0.639420866	83.8995046
ADRB2	0.41895304200000005	77.06416608
ADTRP	0.439181676	77.69521113
AEN	0.777157784	87.17857985
AFAP1L2	0.788095311	87.2965322
AFM	0.486911049	79.46449634
AFMID	0.619191319	83.36282142
AGA	0.753291803	86.71266808
AGBL3	1.750970652	96.67374381
AGBL4	0.6173737739999999	83.25076669
AGER	0.597144447	82.7435716
AGFG2	0.9517204290000001	90.06251474
AGL	1.8592958309999998	97.15734843
AGMO	0.402364592	76.45081387
AGPHD1	0.52918614	80.81505072
AGT	0.492370491	79.60603916
AGXT	0.644875971	84.10002359
AGXT2	0.8910348509999999	89.2663364
AHCTF1	0.536328158	81.01556971
AHI1	0.455567154	78.06676103
AHRR	1.004917985	90.78792168
AHSG	0.6871504759999999	85.17928757
AHSP	0.413500896	76.67492333
AIF1L	0.547599505	81.2160887
AIM1	2.11299853	97.90634584
AIPL1	1.644346333	96.16654871
AJAP1	0.41895304200000005	77.06416608
AKAP11	1.44587039	95.09907997
AKAP12	0.9148322959999999	89.54942203
AKAP13	1.988827491	97.64095305
AKAP2	1.455030861	95.16395376
AKAP3	1.207001692	93.02901628
AKAP4	0.6651035160000001	84.61311629999999
AKAP5	0.72761005	86.08162302
AKAP7	1.6407100909999999	96.13116301
AKAP8	0.497836815	79.65911772
AKD1	1.723305156	96.49681529
AKIP1	1.060147109	91.46614768
AKNAD1	0.828538765	88.11040340000001
AKR1C3	0.775339069	87.13729653
AKR1E2	0.619191319	83.36282142
AKR7A2	0.7091975090000001	85.68058504
AKR7A3	1.888739204	97.30478887
ALDH16A1	0.43534448299999995	77.36494456
ALDH3B2	2.0908662159999998	97.85326728
ALG10B	1.552504757	95.63576315
ALG1L	1.660947774	96.24321774
ALG8	0.486911049	79.46449634
ALG9	0.507139401	80.10143902
ALKBH8	1.243805243	93.41825902
ALLC	0.99945266	90.6935598
ALMS1	2.285276118	98.28379335
ALOX12	0.8010248170000001	87.65628686
ALOX15B	0.981046964	90.45765511
ALPK1	1.4587022669999998	95.175749
ALPP	1.35769336	94.43854683
ALPPL2	0.468503535	78.79806558
ALS2CR11	2.5356378509999997	98.7084218
AMACR	1.418384579	94.89266336
AMBN	1.5543225969999999	95.64166077
AMICA1	0.597144447	82.7435716
AMOTL2	0.804668134	87.71526303
AMTN	1.304504747	93.94904459
AMZ2	0.507139401	80.10143902
ANAPC16	0.45759496200000005	78.16112291
ANAPC7	0.46304610799999996	78.58575136
ANGEL1	0.578735925	82.29535268
ANKAR	2.941884491	99.15664072
ANKFN1	0.600782551	82.82613824
ANKLE1	2.804006769	99.05048359999999
ANKRD16	0.707379532	85.62750649
ANKRD18A	2.704844505	98.90894079
ANKRD22	0.681699246	84.93158764
ANKRD24	1.877664966	97.22811984
ANKRD26	2.151528517	97.98301486
ANKRD30A	2.7029255119999998	98.90304317
ANKRD30B	1.06196211	91.50743100000001
ANKRD33	1.111513261	92.07360226
ANKRD35	0.878111845	88.89478651
ANKRD37	0.503505267	79.88912479
ANKRD45	0.659651797	84.35362114
ANKRD53	1.26585432	93.59518754
ANKRD7	0.747842143	86.47676339
ANKZF1	0.606246644	82.93229535
ANO10	0.9571774190000001	90.14508139
ANO5	0.584200036	82.336636
ANP32D	0.703746784	85.42108988
ANTXR2	0.573279816	82.08303845
ANXA10	0.8176166440000001	87.95116773
ANXA11	0.492370491	79.60603916
ANXA13	0.48873011200000005	79.52347252
ANXA2R	0.569646743	81.88841708
ANXA3	1.24016994	93.34748762
ANXA4	0.663285274	84.55414013
ANXA9	0.531004228	80.87992451
AOAH	0.9571774190000001	90.14508139
AOC3	0.782621089	87.25524888
AP1S3	1.302692676	93.93724935
AP3B1	0.42623145	77.29417315
AP5M1	0.663285274	84.55414013
APBA3	0.8910348509999999	89.2663364
APCDD1L	0.42077167600000004	77.15852795
APH1B	0.527368849	80.73248408
APIP	0.68351529	85.03774475
APLF	1.065596954	91.61358811
APMAP	0.578735925	82.29535268
APOA5	0.41895304200000005	77.06416608
APOB	1.41604242	94.84548243
APOBEC1	1.126294249	92.16206653
APOBEC2	0.549415813	81.38122199
APOBEC3B	2.201139331	98.12455768
APOBEC3F	1.177658736	92.77541873
APOBEC3H	0.705562627	85.52724699
APOBEC4	2.107460923	97.88275537
APOC2	0.7698899690000001	86.95447039
APOC4	0.815800671	87.8744987
APOD	0.77170517	87.00754895
APOF	0.72761005	86.08162302
APOH	0.9535379690000001	90.08610521
APOL1	1.4458917530000002	95.12267044
APOL3	1.177658736	92.77541873
APOL5	0.887394731	89.18966737
APOO	0.525552348	80.57914603
APTX	0.46304610799999996	78.58575136
AQP11	0.505321956	80.00707714
AQP6	0.41895304200000005	77.06416608
AQPEP	1.36500134	94.46213730000001
ARFGAP2	0.531004228	80.87992451
ARFGAP3	1.067416815	91.66666667
ARHGAP10	1.09310945	91.90846898
ARHGAP25	0.75875178	86.82472281
ARHGAP31	0.5878473329999999	82.35432885
ARHGAP8	2.3022065130000002	98.32507667
ARHGEF15	0.538284722	81.08634112
ARHGEF18	0.655813101	84.18848785
ARHGEF19	1.001272896	90.72304789
ARHGEF26	0.580556395	82.31304553
ARHGEF33	1.060147109	91.46614768
ARHGEF37	1.183126933	92.82849729
ARHGEF6	0.64123826	83.97617363
ARID3C	0.52918614	80.81505072
ARL11	0.703746784	85.42108988
ARL5C	1.7252944769999998	96.5027129
ARMC3	0.558509856	81.67020524
ARMC4	1.118808695	92.0853975
ARMS2	0.72397987	85.91648974
ARNTL2	0.553050905	81.54635527
ARRDC2	0.446457185	77.97829677
ARRDC4	0.46304610799999996	78.58575136
ARSH	1.4458917530000002	95.12267044
ART1	1.043548753	91.30691201
ART4	0.92967242	89.79122435
ART5	2.173627394	98.05378627
AS3MT	0.549415813	81.38122199
ASAH1	0.514416907	80.31375324
ASB12	0.485092724	79.37603208
ASB15	0.48873011200000005	79.52347252
ASB16	1.580015895	95.77140835
ASCC1	0.795569043	87.49115357
ASCC2	0.582377763	82.32484076
ASCL3	0.593509966	82.51356452
ASIC4	0.402364592	76.45081387
ASMTL	2.168034562	98.03609342
ASPDH	0.681699246	84.93158764
ASPG	0.560331224	81.70559094
ASPM	1.76062236	96.74451522
ASTL	0.711016566	85.72776598
ATAD3B	2.166192036	98.0301958
ATAD3C	2.8885981889999996	99.14484548
ATF4	1.021500656	91.01792876
ATF6	0.42259095	77.22929936
ATF7IP	0.473967469	78.86293937
ATG10	1.082196027	91.79641425
ATG2B	0.48674322200000003	79.3819297
ATM	1.5268985380000002	95.50601557
ATP10A	1.291519174	93.86058033
ATP10B	1.376027048	94.52111347
ATP13A5	2.035714332	97.72351970000001
ATP1A4	0.547404288	81.13352206
ATP5J	0.479642105	78.95140363
ATP5SL	1.330184494	94.17315405
