	base__hugo	base__num_variants	base__so	base__all_so	base__note
0	AAR2	175	FSI	FSI(1),SYN(1),INT(161),2KU(11),2KD(1)	
1	ABHD12	195	MIS	MIS(1),SYN(2),INT(181),2KU(7),2KD(4)	
2	ACOT8	28	SYN	SYN(1),INT(22),2KU(3),2KD(2)	
3	ACSS1	96	MIS	MIS(1),SYN(2),INT(83),UT5(3),2KU(5),2KD(2)	
4	ACTL10	7	FSI	FSI(1),SYN(2),UT3(1),2KU(2),2KD(1)	
5	ACTR5	29	MIS	MIS(1),SYN(1),INT(25),2KU(1),2KD(1)	
6	ADA	55	INT	INT(45),UT3(2),2KU(7),2KD(1)	
7	ADAM33	42	FSI	FSI(1),IND(1),MIS(2),SYN(2),INT(19),UT5(2),UT3(1),2KU(10),2KD(4)	
8	ADIG	10	INT	INT(7),UT3(1),2KU(1),2KD(1)	
9	ADNP	23	MIS	MIS(1),INT(15),UT5(1),UT3(2),2KU(1),2KD(3)	
10	ADRA1D	53	MIS	MIS(3),INT(41),UT3(3),2KU(5),2KD(1)	
11	ADRM1	35	FSD	FSD(1),MIS(5),SYN(2),INT(15),UT5(2),2KU(4),2KD(6)	
12	AHCY	3	INT	INT(2),UT3(1)	
13	AL049794.1	8	UT5	UT5(1),2KU(1),2KD(6)	
14	AL133335.1	3	2KU	2KU(2),2KD(1)	
15	ANGPT4	55	SYN	SYN(1),INT(46),UT3(2),2KU(4),2KD(2)	
16	ANKEF1	7	INT	INT(7)	
17	ANKRD60	14	INT	INT(11),2KU(1),2KD(2)	
18	AP5S1	9	INT	INT(1),UT3(1),2KU(1),2KD(6)	
19	APCDD1L	11	INT	INT(10),2KU(1)	
20	APMAP	35	INT	INT(34),2KU(1)	
21	ARFGEF2	179	STG	STG(1),MIS(2),SYN(1),INT(164),UT3(1),2KU(7),2KD(3)	
22	ARHGAP40	93	SYN	SYN(2),INT(84),UT3(3),2KU(1),2KD(3)	
23	ASIP	8	INT	INT(6),2KU(1),2KD(1)	
24	ASXL1	42	STG	STG(1),MIS(2),SYN(1),INT(36),UT3(1),2KU(1)	
25	ATP5E	22	MIS	MIS(2),INT(12),UT5(1),2KU(6),2KD(1)	
26	ATP9A	231	FSI	FSI(1),SPL(1),MIS(2),SYN(3),INT(220),UT5(1),UT3(1),2KU(1),2KD(1)	
27	ATRN	317	FSD	FSD(1),MIS(3),SYN(1),INT(289),UT3(18),2KU(1),2KD(4)	
28	AURKA	26	SYN	SYN(1),INT(18),UT3(3),2KD(4)	
29	AVP	13	2KU	2KU(8),2KD(5)	
30	B4GALT5	101	INT	INT(94),UT3(5),2KU(1),2KD(1)	
31	BANF2	131	INT	INT(127),2KU(3),2KD(1)	
32	BCAS1	119	MIS	MIS(1),INT(116),2KU(2)	
33	BCAS4	81	INT	INT(78),UT3(2),2KD(1)	
34	BCL2L1	158	MIS	MIS(3),INT(149),UT3(2),2KU(2),2KD(2)	
35	BFSP1	70	FSD	FSD(1),SYN(1),INT(67),2KU(1)	
36	BLCAP	11	INT	INT(5),UT3(2),2KD(4)	
37	BMP2	56	MIS	MIS(2),SYN(2),INT(29),UT5(2),UT3(4),2KU(7),2KD(10)	
38	BMP7	164	MIS	MIS(1),SYN(2),INT(149),UT5(1),UT3(1),2KU(8),2KD(2)	
39	BPI	108	INT	INT(63),UT3(10),2KU(17),2KD(18)	
40	BPIFA1	11	INT	INT(6),UT3(1),2KU(1),2KD(3)	
41	BPIFA2	17	INT	INT(15),2KD(2)	
42	BPIFA3	19	FSI	FSI(1),SPL(1),SYN(1),INT(8),2KU(3),2KD(5)	
43	BPIFB1	26	MIS	MIS(1),INT(17),2KU(6),2KD(2)	
44	BPIFB2	8	INT	INT(4),UT3(1),2KU(3)	
45	BPIFB3	6	INT	INT(5),2KD(1)	
46	BPIFB4	14	INT	INT(13),2KD(1)	
47	BPIFB6	6	MIS	MIS(1),INT(3),2KU(1),2KD(1)	
48	BTBD3	7	INT	INT(6),UT3(1)	
49	C20orf141	6	MIS	MIS(2),SYN(2),2KU(1),2KD(1)	
50	C20orf144	9	MIS	MIS(1),INT(3),2KU(2),2KD(3)	
51	C20orf173	11	MIS	MIS(1),SYN(1),INT(6),2KU(2),2KD(1)	
52	C20orf194	179	FSI	FSI(1),FSD(1),SPL(1),SYN(3),INT(166),UT3(4),2KU(1),2KD(2)	
53	C20orf196	291	INT	INT(282),2KU(3),2KD(6)	
54	C20orf202	1	2KD	2KD(1)	
55	C20orf24	5	INT	INT(1),UT3(1),2KU(3)	
56	C20orf27	7	INT	INT(4),2KU(1),2KD(2)	
57	C20orf85	27	INT	INT(21),2KU(3),2KD(3)	
58	C20orf96	74	MIS	MIS(5),SYN(1),INT(56),UT3(2),2KU(7),2KD(3)	
59	CABLES2	43	FSD	FSD(1),MIS(1),SYN(1),INT(29),UT3(6),2KU(3),2KD(2)	
60	CASS4	91	MIS	MIS(1),SYN(2),INT(61),UT5(2),UT3(7),2KU(7),2KD(11)	
61	CBFA2T2	157	SYN	SYN(2),INT(139),UT3(12),2KU(1),2KD(3)	
62	CBLN4	20	INT	INT(12),UT5(1),UT3(3),2KU(3),2KD(1)	
63	CCM2L	26	SYN	SYN(1),INT(19),UT3(1),2KU(5)	
64	CD40	40	SYN	SYN(1),INT(29),UT3(3),2KU(3),2KD(4)	
65	CD93	40	STG	STG(1),MIS(7),SYN(3),INT(1),UT3(16),2KU(6),2KD(6)	
66	CDC25B	40	INT	INT(38),UT5(2)	
67	CDH22	137	MIS	MIS(2),SYN(1),INT(130),UT3(1),2KU(1),2KD(2)	
68	CDH26	164	MIS	MIS(2),SYN(2),INT(136),UT3(14),2KU(1),2KD(9)	
69	CDH4	1340	MIS	MIS(4),SYN(2),INT(1330),UT3(2),2KD(2)	
70	CDK5RAP1	26	SYN	SYN(2),INT(20),2KD(4)	
71	CDS2	98	MIS	MIS(1),SYN(3),INT(72),UT3(15),2KU(3),2KD(4)	
72	CEBPB	5	UT3	UT3(2),2KU(3)	
73	CENPB	14	UT3	UT3(1),2KU(12),2KD(1)	
74	CEP250	117	FSD	FSD(2),MIS(10),SYN(11),INT(79),UT5(1),UT3(11),2KU(3)	
75	CFAP61	671	MIS	MIS(5),SYN(1),INT(664),2KU(1)	
76	CHD6	221	FSD	FSD(1),SPL(1),MIS(6),SYN(1),INT(202),UT3(8),2KD(2)	
77	CHGB	22	INT	INT(6),UT5(2),2KU(13),2KD(1)	
78	CHMP4B	6	SPL	SPL(1),INT(4),2KU(1)	
79	CNBD2	31	IND	IND(1),MIS(1),INT(25),2KU(1),2KD(3)	
80	COL9A3	28	MIS	MIS(2),INT(24),2KU(1),2KD(1)	
81	COMMD7	38	INT	INT(36),2KD(2)	
82	COX4I2	2	INT	INT(2)	
83	CPNE1	31	FSI	FSI(1),INT(28),2KU(2)	
84	CPXM1	12	FSI	FSI(1),MIS(2),SYN(1),INT(4),2KU(3),2KD(1)	
