base__hugo	base__num_variants	base__so	base__all_so	base__note	pubmed__n	pubmed__term	uniprot__acc
AAR2	50	INT	INT(39),2KU(11)				Q9Y312[WEB:]https://www.uniprot.org/uniprot/Q9Y312
ABHD12	186	MIS	MIS(1),SYN(2),INT(173),2KU(6),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ABHD12[TIAB] AND cancer[TIAB]	Q8N2K0[WEB:]https://www.uniprot.org/uniprot/Q8N2K0
ACOT8	36	MIS	MIS(1),SYN(2),INT(27),2KU(3),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ACOT8[TIAB] AND cancer[MH]	O14734[WEB:]https://www.uniprot.org/uniprot/O14734
ACSS1	118	MIS	MIS(1),SYN(3),INT(103),UT5(1),UT3(2),2KU(7),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=ACSS1[TIAB] AND cancer[MH]	Q9NUB1[WEB:]https://www.uniprot.org/uniprot/Q9NUB1
ACSS2	37	MIS	MIS(1),INT(32),UT5(1),2KU(3)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=ACSS2[TIAB] AND cancer[MH]	Q9NR19[WEB:]https://www.uniprot.org/uniprot/Q9NR19
ACTL10	3	UT5	UT5(1),2KU(2)				Q5JWF8[WEB:]https://www.uniprot.org/uniprot/Q5JWF8
ACTR5	24	INT	INT(18),2KU(4),2KD(2)				Q9H9F9[WEB:]https://www.uniprot.org/uniprot/Q9H9F9
ADA	66	INT	INT(58),UT5(1),2KU(5),2KD(2)		465	http://www.ncbi.nlm.nih.gov/pubmed?term=ADA[TIAB] AND cancer[MH]	P00813[WEB:]https://www.uniprot.org/uniprot/P00813
ADAM33	49	FSI	FSI(1),IND(1),MIS(2),SYN(3),INT(26),UT5(1),UT3(1),2KU(7),2KD(7)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=ADAM33[TIAB] AND cancer[MH]	Q9BZ11[WEB:]https://www.uniprot.org/uniprot/Q9BZ11
ADNP	55	STG	STG(1),MIS(1),SYN(1),INT(41),UT5(1),UT3(2),2KU(3),2KD(5)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=ADNP[TIAB] AND cancer[MH]	Q9H2P0[WEB:]https://www.uniprot.org/uniprot/Q9H2P0
ADRA1D	110	MIS	MIS(3),SYN(1),INT(95),UT3(3),2KU(7),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ADRA1D[TIAB] AND cancer[TIAB]	P25100[WEB:]https://www.uniprot.org/uniprot/P25100
ADRM1	46	FSD	FSD(1),MIS(2),SYN(3),INT(23),2KU(10),2KD(7)		10	http://www.ncbi.nlm.nih.gov/pubmed?term=ADRM1[TIAB] AND cancer[MH]	Q16186[WEB:]https://www.uniprot.org/uniprot/Q16186
AHCY	29	SYN	SYN(2),INT(21),UT3(2),2KU(3),2KD(1)		66	http://www.ncbi.nlm.nih.gov/pubmed?term=AHCY[MH] AND cancer[MH]	P23526[WEB:]https://www.uniprot.org/uniprot/P23526
AL049794.1	14	UT5	UT5(5),2KU(3),2KD(6)				
AL133335.1	6	2KU	2KU(4),2KD(2)				
ANGPT4	115	FSI	FSI(1),SYN(1),INT(95),UT3(10),2KU(5),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ANGPT4[TIAB] AND cancer[TIAB]	Q9Y264[WEB:]https://www.uniprot.org/uniprot/Q9Y264
ANKEF1	34	MIS	MIS(1),SYN(1),INT(27),UT3(3),2KU(2)				Q9NU02[WEB:]https://www.uniprot.org/uniprot/Q9NU02
ANKRD60	11	INT	INT(9),2KU(1),2KD(1)				Q9BZ19[WEB:]https://www.uniprot.org/uniprot/Q9BZ19
